Asset_ID,Asset_Name,Asset_Type,Risk_Score,Condition_Score,Age_Years,Repair_Type,Estimated_Repair_Cost,Expected_Risk_Reduction_Percent,Priority,Available_Budget,Budget_Allocated,Remaining_Budget,Budget_Utilization_Percent
R001,Road 1,Road,86,25,12,Pothole Repair,195000,25,Critical,8000000,195000,58000,2.44
B001,Bridge 1,Bridge,77,27,10,Structural Repair,1963000,31,High,8000000,0,58000,0.0
W001,Water Infrastructure 1,Water Infrastructure,42,55,27,Valve Replacement,674000,11,Low,8000000,0,58000,0.0
R002,Road 2,Road,94,25,11,Strengthening,532000,29,Critical,8000000,532000,5961000,6.65
B002,Bridge 2,Bridge,56,51,5,Strengthening,1651000,23,Moderate,8000000,0,58000,0.0
W002,Water Infrastructure 2,Water Infrastructure,50,52,22,Water Main Repair,567000,18,Moderate,8000000,0,58000,0.0
B003,Bridge 3,Bridge,68,32,11,Protective Coating,2562000,23,Moderate,8000000,0,58000,0.0
W003,Water Infrastructure 3,Water Infrastructure,73,27,6,Leakage Repair,927000,21,High,8000000,0,58000,0.0
R003,Road 3,Road,55,52,5,Drainage Improvement,789000,16,Moderate,8000000,0,58000,0.0
B004,Bridge 4,Bridge,76,31,30,Protective Coating,1767000,22,High,8000000,0,58000,0.0
R004,Road 4,Road,79,26,4,Reconstruction,478000,22,High,8000000,0,58000,0.0
W004,Water Infrastructure 4,Water Infrastructure,75,25,3,Water Main Repair,245000,21,High,8000000,0,58000,0.0
W005,Water Infrastructure 5,Water Infrastructure,80,25,20,Water Main Repair,973000,35,High,8000000,0,58000,0.0
R005,Road 5,Road,86,25,7,Drainage Improvement,465000,34,Critical,8000000,0,253000,0.0
B005,Bridge 5,Bridge,63,33,31,Protective Coating,1493000,27,Moderate,8000000,0,58000,0.0
B006,Bridge 6,Bridge,67,34,9,Deck Repair,2400000,18,Moderate,8000000,0,58000,0.0
W006,Water Infrastructure 6,Water Infrastructure,30,63,21,Water Main Repair,459000,10,Low,8000000,0,58000,0.0
R006,Road 6,Road,54,54,7,Resurfacing,521000,23,Moderate,8000000,0,58000,0.0
B007,Bridge 7,Bridge,43,59,8,Strengthening,2999000,17,Low,8000000,0,58000,0.0
W007,Water Infrastructure 7,Water Infrastructure,43,55,30,Leakage Repair,1428000,12,Low,8000000,0,58000,0.0
R007,Road 7,Road,29,79,5,Pothole Repair,590000,12,Low,8000000,0,58000,0.0
W008,Water Infrastructure 8,Water Infrastructure,69,26,8,Pipe Replacement,1477000,26,Moderate,8000000,0,58000,0.0
R008,Road 8,Road,58,35,8,Resurfacing,582000,25,Moderate,8000000,0,58000,0.0
B008,Bridge 8,Bridge,62,33,16,Strengthening,2651000,26,Moderate,8000000,0,58000,0.0
W009,Water Infrastructure 9,Water Infrastructure,67,27,28,Pipe Replacement,840000,23,Moderate,8000000,0,58000,0.0
R009,Road 9,Road,69,36,5,Strengthening,568000,31,Moderate,8000000,0,58000,0.0
B009,Bridge 9,Bridge,44,49,5,Structural Repair,2773000,13,Low,8000000,0,58000,0.0
R010,Road 10,Road,84,25,3,Strengthening,280000,36,High,8000000,0,58000,0.0
W010,Water Infrastructure 10,Water Infrastructure,37,63,17,Water Main Repair,740000,15,Low,8000000,0,58000,0.0
B010,Bridge 10,Bridge,45,55,17,Deck Repair,1712000,19,Moderate,8000000,0,58000,0.0
R011,Road 11,Road,47,60,14,Drainage Improvement,182000,18,Moderate,8000000,0,58000,0.0
R012,Road 12,Road,46,52,18,Drainage Improvement,213000,15,Moderate,8000000,0,58000,0.0
R013,Road 13,Road,32,72,13,Resurfacing,429000,10,Low,8000000,0,58000,0.0
R014,Road 14,Road,35,66,17,Reconstruction,411000,13,Low,8000000,0,58000,0.0
R015,Road 15,Road,27,74,9,Reconstruction,687000,10,Low,8000000,0,58000,0.0
